fit_time,score_time,estimator,test_score,model,layer,control,mincount
1.8223528861999512,0.0013811588287353516,"LogisticRegression(C=10000, max_iter=3000)",0.8215135581678332,bert-base-cased,1,0.336777650210486,10
1.3529410362243652,0.0030107498168945312,"LogisticRegression(C=10000, max_iter=3000)",0.7261801016702978,bert-base-cased,1,0.3037898363479759,10
1.4317638874053955,0.0012660026550292969,"LogisticRegression(C=10000, max_iter=3000)",0.7471619524143215,bert-base-cased,1,0.30701047542304594,10
1.4487230777740479,0.0013289451599121094,"LogisticRegression(C=10000, max_iter=3000)",0.7097125389946193,bert-base-cased,1,0.39840079271333706,10
1.3051791191101074,0.0013179779052734375,"LogisticRegression(C=10000, max_iter=3000)",0.7770851292022108,bert-base-cased,1,0.347167325428195,10
1.5013761520385742,0.0030188560485839844,"LogisticRegression(C=10000, max_iter=3000)",0.7396686421076666,bert-base-cased,1,0.33214624705997203,10
1.5581111907958984,0.001352071762084961,"LogisticRegression(C=10000, max_iter=3000)",0.7832524126356172,bert-base-cased,1,0.3676270195833533,10
1.5536720752716064,0.0014009475708007812,"LogisticRegression(C=10000, max_iter=3000)",0.7407431914077485,bert-base-cased,1,0.3345739750445633,10
1.429476022720337,0.0013241767883300781,"LogisticRegression(C=10000, max_iter=3000)",0.7580239292040423,bert-base-cased,1,0.33619670090258325,10
1.4854249954223633,0.0013928413391113281,"LogisticRegression(C=10000, max_iter=3000)",0.7492335115864529,bert-base-cased,1,0.3599899493388796,10
1.400738000869751,0.0031218528747558594,"LogisticRegression(C=10000, max_iter=3000)",0.684788020554444,bert-base-cased,1,0.38443585663408353,10
1.6079931259155273,0.0013089179992675781,"LogisticRegression(C=10000, max_iter=3000)",0.7064423886107981,bert-base-cased,1,0.34427137391310264,10
1.4853270053863525,0.003084897994995117,"LogisticRegression(C=10000, max_iter=3000)",0.7491830065359477,bert-base-cased,1,0.2879964306141926,10
1.6669197082519531,0.0013730525970458984,"LogisticRegression(C=10000, max_iter=3000)",0.8215572975593988,bert-base-cased,1,0.36245353086066906,10
1.6705279350280762,0.002809762954711914,"LogisticRegression(C=10000, max_iter=3000)",0.7193853792578474,bert-base-cased,1,0.31531782192417296,10
1.4031708240509033,0.0013780593872070312,"LogisticRegression(C=10000, max_iter=3000)",0.7388260674770142,bert-base-cased,1,0.35356100033043564,10
1.6023180484771729,0.0014510154724121094,"LogisticRegression(C=10000, max_iter=3000)",0.7476903472443452,bert-base-cased,1,0.3948415462779778,10
1.5667519569396973,0.0013539791107177734,"LogisticRegression(C=10000, max_iter=3000)",0.7660808225729316,bert-base-cased,1,0.3192977278451309,10
1.4339599609375,0.0013842582702636719,"LogisticRegression(C=10000, max_iter=3000)",0.7292818274877431,bert-base-cased,1,0.3544929783751185,10
1.3132798671722412,0.001283884048461914,"LogisticRegression(C=10000, max_iter=3000)",0.731548897578528,bert-base-cased,1,0.3137229722595576,10
0.16140198707580566,0.0013420581817626953,"LogisticRegression(C=10000, max_iter=3000)",0.9413712740441781,bert-base-cased,6,0.36628325943481305,10
0.1651310920715332,0.0013210773468017578,"LogisticRegression(C=10000, max_iter=3000)",0.8850387228579443,bert-base-cased,6,0.32007803818148645,10
0.18478703498840332,0.0013079643249511719,"LogisticRegression(C=10000, max_iter=3000)",0.9301375986886747,bert-base-cased,6,0.3262529929196596,10
0.21075868606567383,0.0027179718017578125,"LogisticRegression(C=10000, max_iter=3000)",0.9124992322338922,bert-base-cased,6,0.35222901869403184,10
0.16201496124267578,0.0027282238006591797,"LogisticRegression(C=10000, max_iter=3000)",0.9477098483735201,bert-base-cased,6,0.33091764292502174,10
0.1844320297241211,0.001374959945678711,"LogisticRegression(C=10000, max_iter=3000)",0.9226383626457263,bert-base-cased,6,0.3353912757046727,10
0.2328197956085205,0.0013582706451416016,"LogisticRegression(C=10000, max_iter=3000)",0.9364412505374363,bert-base-cased,6,0.3683411354772857,10
0.19382786750793457,0.003053903579711914,"LogisticRegression(C=10000, max_iter=3000)",0.9323468129438278,bert-base-cased,6,0.36702201783723526,10
0.12869691848754883,0.001291036605834961,"LogisticRegression(C=10000, max_iter=3000)",0.9185141333157172,bert-base-cased,6,0.3272005772005772,10
0.16702580451965332,0.0012700557708740234,"LogisticRegression(C=10000, max_iter=3000)",0.9384990253411306,bert-base-cased,6,0.3557309340909045,10
0.22537612915039062,0.0013918876647949219,"LogisticRegression(C=10000, max_iter=3000)",0.9369144206102216,bert-base-cased,6,0.317054101038691,10
0.14890098571777344,0.0029649734497070312,"LogisticRegression(C=10000, max_iter=3000)",0.9333970740799353,bert-base-cased,6,0.3492301531943476,10
0.12845611572265625,0.0013110637664794922,"LogisticRegression(C=10000, max_iter=3000)",0.9361533067859065,bert-base-cased,6,0.36670151316897787,10
0.20991897583007812,0.0012710094451904297,"LogisticRegression(C=10000, max_iter=3000)",0.9596796870224341,bert-base-cased,6,0.3070853109407326,10
0.13810515403747559,0.0013098716735839844,"LogisticRegression(C=10000, max_iter=3000)",0.9546732957043133,bert-base-cased,6,0.37552768988371943,10
0.13675332069396973,0.0013239383697509766,"LogisticRegression(C=10000, max_iter=3000)",0.9274187364075005,bert-base-cased,6,0.3132453526323258,10
0.19037604331970215,0.0022802352905273438,"LogisticRegression(C=10000, max_iter=3000)",0.9413094536802564,bert-base-cased,6,0.30955401334965643,10
0.21164798736572266,0.0013279914855957031,"LogisticRegression(C=10000, max_iter=3000)",0.9556173224069903,bert-base-cased,6,0.2894451277846111,10
