fit_time,score_time,estimator,test_score,model,layer,control,mincount
5.544137239456177,0.002652883529663086,"LogisticRegression(C=10000, max_iter=3000)",0.5936051551806626,bert-base-cased,1,0.04350227420402858,10
5.761086940765381,0.002088308334350586,"LogisticRegression(C=10000, max_iter=3000)",0.6385678291286574,bert-base-cased,1,0.03591151575051246,10
5.682605743408203,0.003495931625366211,"LogisticRegression(C=10000, max_iter=3000)",0.6166245614663879,bert-base-cased,1,0.07706739615924343,10
4.85703706741333,0.0020220279693603516,"LogisticRegression(C=10000, max_iter=3000)",0.6718253698771302,bert-base-cased,1,0.03194307466472618,10
5.308232069015503,0.001995086669921875,"LogisticRegression(C=10000, max_iter=3000)",0.5827932502861594,bert-base-cased,1,0.012814777423450083,10
5.234259843826294,0.0017552375793457031,"LogisticRegression(C=10000, max_iter=3000)",0.6870721870721871,bert-base-cased,1,0.055209481029465775,10
5.131203889846802,0.0019271373748779297,"LogisticRegression(C=10000, max_iter=3000)",0.6002646443680827,bert-base-cased,1,0.06366530254783496,10
5.38352108001709,0.0019850730895996094,"LogisticRegression(C=10000, max_iter=3000)",0.6892141981994651,bert-base-cased,1,0.03581925247092664,10
5.2944629192352295,0.0017600059509277344,"LogisticRegression(C=10000, max_iter=3000)",0.6711745545036253,bert-base-cased,1,0.018869038492596475,10
5.149447917938232,0.001978158950805664,"LogisticRegression(C=10000, max_iter=3000)",0.6123811951680473,bert-base-cased,1,0.046661396097789014,10
5.447979927062988,0.0019719600677490234,"LogisticRegression(C=10000, max_iter=3000)",0.6893783032201112,bert-base-cased,1,0.035142595271905615,10
5.4981420040130615,0.0018851757049560547,"LogisticRegression(C=10000, max_iter=3000)",0.6300894946831929,bert-base-cased,1,0.035896281626831915,10
5.263257741928101,0.0039081573486328125,"LogisticRegression(C=10000, max_iter=3000)",0.6273314276187839,bert-base-cased,1,0.018550126255999347,10
5.334974050521851,0.003612995147705078,"LogisticRegression(C=10000, max_iter=3000)",0.6617330425120975,bert-base-cased,1,0.022647722647722652,10
5.401546955108643,0.001936197280883789,"LogisticRegression(C=10000, max_iter=3000)",0.5999953891021428,bert-base-cased,1,0.053791157344201916,10
5.328420162200928,0.0022039413452148438,"LogisticRegression(C=10000, max_iter=3000)",0.6556428305131783,bert-base-cased,1,0.03596051215098834,10
5.532851934432983,0.0018689632415771484,"LogisticRegression(C=10000, max_iter=3000)",0.5935702407810467,bert-base-cased,1,0.02592502148057704,10
5.305697917938232,0.0025229454040527344,"LogisticRegression(C=10000, max_iter=3000)",0.662254497579445,bert-base-cased,1,0.030463196814852232,10
5.243456125259399,0.0018889904022216797,"LogisticRegression(C=10000, max_iter=3000)",0.657495570273348,bert-base-cased,1,0.030548760058915377,10
4.834980726242065,0.0024080276489257812,"LogisticRegression(C=10000, max_iter=3000)",0.7004182806106845,bert-base-cased,1,0.04735610068943402,10
1.6988861560821533,0.003429889678955078,"LogisticRegression(C=10000, max_iter=3000)",0.8000267233330114,bert-base-cased,6,0.053288974400085516,10
1.8415789604187012,0.003626108169555664,"LogisticRegression(C=10000, max_iter=3000)",0.8211491039140939,bert-base-cased,6,0.02879042471358668,10
1.9061691761016846,0.0027740001678466797,"LogisticRegression(C=10000, max_iter=3000)",0.7854332503253657,bert-base-cased,6,0.018805753453640776,10
1.917445182800293,0.00197601318359375,"LogisticRegression(C=10000, max_iter=3000)",0.8628982383108893,bert-base-cased,6,0.04376416675581942,10
1.7565820217132568,0.0024750232696533203,"LogisticRegression(C=10000, max_iter=3000)",0.7827602356249729,bert-base-cased,6,0.030868925403604947,10
1.7644171714782715,0.0017728805541992188,"LogisticRegression(C=10000, max_iter=3000)",0.7890472447943713,bert-base-cased,6,0.044959410554899985,10
2.0977602005004883,0.006133079528808594,"LogisticRegression(C=10000, max_iter=3000)",0.8361898869306278,bert-base-cased,6,0.03848433690605658,10
1.8045833110809326,0.0036139488220214844,"LogisticRegression(C=10000, max_iter=3000)",0.8215887700953414,bert-base-cased,6,0.025097419129422736,10
1.9208722114562988,0.0020978450775146484,"LogisticRegression(C=10000, max_iter=3000)",0.8190017801128913,bert-base-cased,6,0.0282446741124883,10
2.0608651638031006,0.002313852310180664,"LogisticRegression(C=10000, max_iter=3000)",0.7619419552830431,bert-base-cased,6,0.029801515472389715,10
2.1285459995269775,0.0019221305847167969,"LogisticRegression(C=10000, max_iter=3000)",0.8158349860320302,bert-base-cased,6,0.026995269524005158,10
2.045400857925415,0.0015931129455566406,"LogisticRegression(C=10000, max_iter=3000)",0.7796808695419806,bert-base-cased,6,0.04833147030330129,10
2.0968523025512695,0.0019567012786865234,"LogisticRegression(C=10000, max_iter=3000)",0.8043470746696552,bert-base-cased,6,0.02644830531109637,10
1.9883530139923096,0.0019521713256835938,"LogisticRegression(C=10000, max_iter=3000)",0.7729017335619589,bert-base-cased,6,0.02524998603429976,10
1.9303638935089111,0.0019159317016601562,"LogisticRegression(C=10000, max_iter=3000)",0.7628900222055058,bert-base-cased,6,0.028862841267212853,10
2.0042638778686523,0.002003908157348633,"LogisticRegression(C=10000, max_iter=3000)",0.8229356739989955,bert-base-cased,6,0.032715764920066,10
2.1622462272644043,0.002106904983520508,"LogisticRegression(C=10000, max_iter=3000)",0.7402150318180232,bert-base-cased,6,0.042801489607554664,10
2.0765669345855713,0.0019221305847167969,"LogisticRegression(C=10000, max_iter=3000)",0.8316036185022058,bert-base-cased,6,0.014978848312181646,10
1.9577810764312744,0.0025997161865234375,"LogisticRegression(C=10000, max_iter=3000)",0.8069867837080951,bert-base-cased,6,0.04819553866388658,10
