Probe,Control,Selectivity
0.7473679511134904,0.3427035605543416,0.40466439055914877
0.9339816647931155,0.3380921568258237,0.5958895079672917
0.9535898345505321,0.32753214140375747,0.6260576931467746
0.7203261891964323,0.3333056728073629,0.3870205163890694
0.9107151685831927,0.34467073962594097,0.5660444289572516
0.9437930683661708,0.32834836079011526,0.615444707576056
0.9662289883413526,0.34932686408402475,0.6169021242573279
0.9674286591040108,0.33495479910750664,0.6324738599965041
0.8819856492293023,0.3396538238445686,0.5423318253847338
0.9579575516992135,0.3414296373631479,0.6165279143360657
0.9655112641586993,0.32380349471820913,0.64170776944049
0.8562580519420766,0.33100962311935833,0.5252484288227182
0.9578661713858676,0.331893933825527,0.6259722375603404
0.9647143228443442,0.3290530798750263,0.6356612429693178
0.9514452117410264,0.3376584977823031,0.6137867139587233
0.9639915295159411,0.33697593359665523,0.6270155959192858
0.8671151830371665,0.32341763213128233,0.5436975509058841
0.9581919498019419,0.341840927613518,0.616351022188424
0.9368048759009342,0.3233624060324665,0.6134424698684681
0.7960898684934847,0.3434622126542072,0.4526276558392775
0.9419545665293267,0.3366943582292373,0.605260208300089
0.9625253486355108,0.32534947479032067,0.6371758738451903
0.9724506593599527,0.32166172294343,0.6507889364165225
0.9545417061395257,0.3566124724634142,0.5979292336761116
0.8210720719526761,0.332846273266387,0.48822579868628935
0.9580977129162507,0.3405619835185215,0.617535729397729
0.9630022793693577,0.32199147447349213,0.6410108048958656
0.49697839444700953,0.3253952466209719,0.1715831478260377
0.9412434435110848,0.3390437884306257,0.6021996550804589
0.9612763500544148,0.33184675843865324,0.6294295916157615
0.9575904948975346,0.346124764439078,0.6114657304584565
0.9702176017299783,0.31650566719111567,0.6537119345388624
