Probe,Control,Selectivity
0.6420716011072217,0.03788724915910011,0.6041843519481216
0.8028967630418897,0.03338594479396901,0.769510818247921
0.8083162080888024,0.03236503799277122,0.7759511700960313
0.6487464702127668,0.03570854065040134,0.6130379295623655
0.7773023253974995,0.0292810573242759,0.7480212680732233
0.8301097429715172,0.028567580199876846,0.8015421627716404
0.834611562956221,0.02829225423947087,0.80631930871675
0.8406397902057104,0.03202845223389007,0.8086113379718205
0.7195414343405948,0.03484657801919802,0.6846948563213967
0.812150463593067,0.030783946101852096,0.7813665174912148
0.8498566199454837,0.02978389261921755,0.8200727273262659
0.7224053703248752,0.038144833811950475,0.6842605365129246
0.8435100202788449,0.0299177064856166,0.8135923137932284
0.8132966380643178,0.035253381106647504,0.7780432569576703
0.7808638382788521,0.041838199866091906,0.7390256384127601
0.8342100803415559,0.028595217658071076,0.8056148626834847
0.6959557573422448,0.043415494706213406,0.6525402626360312
0.8416758351480864,0.03087455079883058,0.8108012843492558
0.7531534490929025,0.0349872301765193,0.7181662189163833
0.6560340979613697,0.03998472453461359,0.616049373426756
0.8362815580543728,0.03618996200580248,0.8000915960485703
0.8288279106879699,0.034112237559609175,0.7947156731283607
0.8036812561136166,0.035141552905954464,0.7685397032076622
0.792129070013922,0.039791860598478376,0.7523372094154436
0.6575696388190456,0.0303149230032206,0.6272547158158253
0.811908703466073,0.03510040048777172,0.7768083029783013
0.8307129843926587,0.031267369167097006,0.7994456152255615
0.326193549931581,0.029387764061934735,0.29680578586964623
0.8124898463042604,0.026451175589914954,0.7860386707143454
0.8308818524316992,0.031948535926123144,0.7989333165055761
0.7985300342835469,0.034046697434671855,0.7644833368488748
0.8595945979135514,0.03146802516748069,0.8281265727460706
